Borsa_Fiyati,Sistem_Hacmi,Sebekeden_Alis,Sebekeye_Satis,Kooperatif_Tasarrufu
3.91591780137434,489.765,0,297.304,837.49815
3.80731028783829,516.305,0,580.518,882.88155
3.75128254371141,512.075,0,758.222,875.64825
3.73773588781776,440.62,0,695.908,753.4602
3.75851958927662,431.19,0,616.669,737.3349
3.88957611157286,434.55,0,311.187,743.0805
4.3054847698327,363.0448,208.1352,0,620.806608
7.34065965119467,-0.1265,782.6665,0,-0.51612
7.34076076374123,-0.1265,678.6765,0,-0.51612
7.34070318615045,-0.1265,734.2265,0,-0.51612
7.34074574816478,-0.1265,692.3365,0,-0.51612
7.34075163453424,-0.1265,686.9165,0,-0.51612
3.08996841116457,-0.1265,681.0315,0,0.021505
3.08992946486117,-0.1265,305.1365,0,0.021505
3.08980185841238,-0.1265,108.7865,0,0.021505
3.08979619687543,-0.1265,105.7715,0,0.021505
3.08979762571344,-0.1265,106.5165,0,0.021505
3.08979681306897,-0.1265,106.0915,0,0.021505
3.08981717088847,-0.1265,117.8765,0,0.021505
3.0898112743915,-0.1265,114.2015,0,0.021505
4.97178656821814,-0.1265,121.3315,0,-0.216315
4.97175611003544,-0.1265,123.4315,0,-0.216315
4.97041762192102,-0.1265,518.2215,0,-0.216315
4.40715539555704,262.9924,273.0226,0,449.717004
3.94149180022713,423.915,0,215.858,724.89465
3.81895022500086,428.2,0,453.595,732.222
3.76544807813535,438.885,0,607.038,750.49335
3.76187433652441,458.67,0,645.453,784.3257
3.85626725056527,509.835,0,442.456,871.81785
3.95588078889203,516,0,235.9758,882.36
4.31179528974926,352.5585,210.8215,0,602.875035
7.34065860740748,-0.1265,783.9065,0,-0.51612
7.34074741127822,-0.1265,690.7965,0,-0.51612
7.34071968358018,-0.1265,717.4015,0,-0.51612
7.34072662920328,-0.1265,710.5465,0,-0.51612
7.34070810155602,-0.1265,729.1315,0,-0.51612
3.08996884996926,-0.1265,690.6215,0,0.021505
3.08993389961532,-0.1265,325.5915,0,0.021505
3.08978361599259,-0.1265,99.6365,0,0.021505
3.08993404861174,-0.1265,326.3265,0,0.021505
3.08993139770985,-0.1265,313.7265,0,0.021505
3.08993129908777,-0.1265,313.2765,0,0.021505
3.08993468955139,-0.1265,329.5265,0,0.021505
3.08993974055232,-0.1265,357.1265,0,0.021505
4.97066903581088,-0.1265,323.5765,0,-0.216315
4.97064509346944,-0.1265,335.5765,0,-0.216315
4.97008328541449,-0.1265,2597.5265,0,-0.216315
4.76425674544099,362.9504,2290.6996,0,620.645184
4.56948875011258,795.784,1806.066,0,1360.79064
4.40257327955722,1313.341,1331.209,0,2245.81311
4.36496169433528,1441.41,1190.99,0,2464.8111
4.37475144884617,1425.818,1244.382,0,2438.14878
4.59342151825645,711.305,1807.345,0,1216.33155
4.78387755062197,317.7771,2284.0229,0,543.398841
4.96001628583518,15.7703,2669.5797,0,26.967213
7.34015259783985,-0.1265,3382.4765,0,-0.51612
7.34016688473581,-0.1265,3092.9265,0,-0.51612
7.34017030158975,-0.1265,3030.8765,0,-0.51612
7.34017500199629,-0.1265,2949.4765,0,-0.51612
7.34018107418333,-0.1265,2850.5765,0,-0.51612
3.08999276820404,-0.1265,2973.9265,0,0.021505
3.08995994400916,-0.1265,537.1265,0,0.021505
3.08993002487607,-0.1265,307.5765,0,0.021505
3.08993336400975,-0.1265,322.9765,0,0.021505
3.08993525973625,-0.1265,332.4265,0,0.021505
3.08992823856631,-0.1265,299.9265,0,0.021505
3.08993137581831,-0.1265,313.6265,0,0.021505
3.08993683796243,-0.1265,340.7265,0,0.021505
4.97067069531367,-0.1265,322.7765,0,-0.216315
4.97063347521843,-0.1265,341.7265,0,-0.216315
4.97008459971524,-0.1265,2557.1765,0,-0.216315
4.88356194955525,139.5494,2481.6006,0,238.629474
4.78752335648381,311.0119,2292.4881,0,531.830349
4.60379476812061,585.4592,1562.8908,0,1001.135232
4.62148458956727,562.8402,1635.9098,0,962.456742
4.59184865879805,617.618,1557.632,0,1056.12678
4.59224625693169,584.205,1476.145,0,998.99055
4.65665067680751,470.8034,1627.6466,0,805.073814
4.78563698956036,322.7785,2348.2715,0,551.951235
7.33951084859285,0.4115,3431.4885,0,1.67892
7.34016834628608,-0.1265,3066.0765,0,-0.51612
7.34016932940314,-0.1265,3048.2765,0,-0.51612
7.3401755108141,-0.1265,2940.9265,0,-0.51612
7.34016943502126,-0.1265,3046.3765,0,-0.51612
3.08999290152395,-0.1265,3029.7765,0,0.021505
3.08995911002266,-0.1265,526.1765,0,0.021505
3.0899348675772,-0.1265,330.4265,0,0.021505
3.08993101258006,-0.1265,311.9765,0,0.021505
3.08993481822301,-0.1265,330.1765,0,0.021505
3.08993229405255,-0.1265,317.8765,0,0.021505
3.0899304098232,-0.1265,309.2765,0,0.021505
3.0899356856928,-0.1265,334.6265,0,0.021505
4.97059900560335,-0.1265,361.3765,0,-0.216315
4.97066831235798,-0.1265,323.9265,0,-0.216315
4.97008367038013,-0.1265,2585.5765,0,-0.216315
4.79277203545966,299.5864,2291.4136,0,512.292744
4.6621493705215,578.86,2057.64,0,989.8506
4.5026668348107,827.849,1373.451,0,1415.62179
4.43004083756498,1019.495,1189.655,0,1743.33645
